ec,lec,total_voters,total_ballots,local_ballots,distant_ballots,unused_ballots,in_mobile_boxes,in_stationary_boxes,spoiled_ballots,valid_ballots,lost_ballots,unaccounted_ballots,amosov,beglov,tikhonova,amosov_share,beglov_share,tikhonova_share,turnout(%)
tec2,166,1901,2000,584,7,1409,7,584,8,583,0,0,128,356,99,21.658206429780034,60.236886632825716,16.751269035532996,31.08890057864282
tec2,167,2182,2000,566,2,1432,2,553,17,538,0,0,183,238,117,32.972972972972975,42.88288288288288,21.08108108108108,26.03116406966086
tec2,168,2746,2000,747,6,1247,6,715,15,706,0,0,214,341,151,29.680998613037445,47.295423023578365,20.943134535367545,27.421704297159504
tec2,169,1489,1500,479,9,1012,9,479,23,465,0,0,79,295,91,16.188524590163937,60.45081967213115,18.647540983606557,32.77367360644728
tec2,170,2305,2000,736,7,1257,7,736,25,718,0,0,195,413,110,26.244952893674295,55.585464333781964,14.804845222072679,32.23427331887202
tec2,171,1382,1500,518,43,939,43,518,15,546,0,0,118,326,102,21.03386809269162,58.110516934046345,18.181818181818183,40.59334298118669
tec2,172,2078,2000,646,7,1347,7,646,20,633,0,0,154,369,110,23.583460949464012,56.50842266462482,16.84532924961715,31.42444658325313
tec2,173,1917,1500,584,17,899,17,584,16,585,0,0,137,320,128,22.795341098169715,53.244592346089846,21.29783693843594,31.351069379238396
tec2,174,2147,2000,599,8,1393,8,599,17,590,0,0,160,300,130,26.359143327841846,49.42339373970346,21.4168039538715,28.27200745225897
tec2,175,1934,1500,510,13,977,13,510,16,507,0,0,128,303,76,24.47418738049713,57.93499043977055,14.531548757170173,27.04239917269907
tec2,176,2235,2000,599,10,1391,9,599,16,592,0,0,111,355,126,18.25657894736842,58.38815789473685,20.723684210526315,27.248322147651006
tec2,177,2062,2000,584,80,1336,79,582,14,647,0,0,151,380,116,22.844175491679273,57.48865355521936,17.549167927382754,32.201745877788554
tec2,178,1977,2000,546,198,1256,196,546,26,716,0,0,199,371,146,26.819407008086255,50.0,19.67654986522911,37.63277693474962
tec2,179,2384,2000,614,9,1377,9,613,23,599,0,0,182,280,137,29.260450160771708,45.01607717041801,22.02572347266881,26.13255033557047
tec2,180,1190,1000,366,0,634,0,366,12,354,0,0,86,158,110,23.497267759562842,43.169398907103826,30.05464480874317,30.756302521008404
tec2,181,1402,1000,348,0,652,0,347,9,338,0,0,74,170,94,21.32564841498559,48.99135446685879,27.089337175792505,24.821683309557773
tec2,182,1555,1500,436,1,1063,1,436,16,421,0,0,134,185,102,30.663615560640732,42.33409610983982,23.340961098398168,28.10289389067524
tec2,183,2017,1500,538,1,961,1,538,14,525,0,0,170,176,179,31.539888682745826,32.6530612244898,33.209647495361786,26.722855726326227
tec2,184,123,200,107,0,93,0,107,0,107,0,0,5,86,16,4.672897196261682,80.37383177570094,14.953271028037381,86.99186991869918
tec2,185,242,800,0,220,580,220,0,2,218,0,0,35,150,33,15.909090909090908,68.18181818181817,15.0,90.9090909090909
tec2,186,436,800,90,346,364,346,90,0,436,0,0,56,368,12,12.844036697247708,84.40366972477065,2.7522935779816518,100.0
tec2,2306,421,500,419,2,79,2,419,0,421,0,0,50,363,8,11.87648456057007,86.22327790973871,1.9002375296912115,100.0
tec2,2307,179,250,116,17,117,17,116,4,129,0,0,3,118,8,2.2556390977443606,88.7218045112782,6.015037593984962,74.30167597765363
tec2,2308,300,300,287,13,0,13,287,5,295,0,0,11,269,15,3.6666666666666665,89.66666666666666,5.0,100.0
tec2,2309,335,400,248,47,105,47,248,3,292,0,0,23,241,28,7.796610169491526,81.69491525423729,9.491525423728813,88.05970149253731
tec2,2310,134,150,123,0,27,0,123,3,120,0,0,8,108,4,6.504065040650407,87.8048780487805,3.2520325203252036,91.7910447761194
tec2,2311,375,500,255,12,233,12,255,7,260,0,0,15,234,11,5.617977528089887,87.64044943820225,4.119850187265917,71.2
