ec,lec,total_voters,total_ballots,local_ballots,distant_ballots,unused_ballots,in_mobile_boxes,in_stationary_boxes,spoiled_ballots,valid_ballots,lost_ballots,unaccounted_ballots,amosov,beglov,tikhonova,amosov_share,beglov_share,tikhonova_share,turnout(%)
tec6,1105,2174,2000,501,9,1490,9,501,6,504,0,0,79,347,78,15.490196078431373,68.03921568627452,15.294117647058824,23.459061637534496
tec6,1106,2203,2000,542,15,1443,15,542,6,551,0,0,96,370,85,17.235188509874327,66.42728904847397,15.260323159784562,25.283704039945533
tec6,1107,2287,2000,490,9,1501,9,490,11,488,0,0,61,335,92,12.224448897795591,67.13426853707415,18.43687374749499,21.818976825535636
tec6,1108,2301,2000,595,10,1395,10,595,18,587,0,0,79,389,119,13.057851239669422,64.29752066115702,19.669421487603305,26.292916123424597
tec6,1109,2156,2100,499,5,1596,5,499,9,495,0,0,85,321,89,16.865079365079367,63.69047619047619,17.658730158730158,23.376623376623375
tec6,1110,2253,2000,448,6,1546,6,448,11,443,0,0,79,289,75,17.400881057268723,63.65638766519823,16.519823788546255,20.150909897913895
tec6,1111,2007,1500,484,6,1010,6,484,6,484,0,0,89,319,76,18.16326530612245,65.10204081632654,15.510204081632653,24.41454907822621
tec6,1112,2943,2500,740,3,1757,3,740,31,712,0,0,153,385,174,20.592193808882907,51.81695827725438,23.418573351278603,25.24634726469589
tec6,1113,1832,1500,481,4,1015,4,481,15,470,0,0,90,300,80,18.556701030927837,61.855670103092784,16.49484536082474,26.473799126637555
tec6,1114,2009,1500,463,9,1028,9,463,9,463,0,0,65,320,78,13.771186440677965,67.79661016949152,16.52542372881356,23.494275759084122
tec6,1115,2228,2000,549,6,1445,6,549,8,547,0,0,82,377,88,14.774774774774773,67.92792792792793,15.855855855855856,24.910233393177737
tec6,1116,2371,2000,636,8,1356,8,636,9,635,0,0,130,380,125,20.18633540372671,59.006211180124225,19.40993788819876,27.161535217207927
tec6,1117,2333,2000,579,18,1403,18,579,9,588,0,0,70,418,100,11.725293132328309,70.01675041876047,16.750418760469014,25.58936990998714
tec6,1118,1816,1500,394,6,1100,6,394,12,388,0,0,64,254,70,16.0,63.5,17.5,22.026431718061673
tec6,1119,2118,2000,543,17,1440,17,543,20,540,0,0,109,331,100,19.464285714285715,59.10714285714286,17.857142857142858,26.440037771482533
tec6,1120,2166,2000,529,3,1468,3,529,15,517,0,0,80,361,76,15.037593984962406,67.85714285714286,14.285714285714285,24.561403508771928
tec6,1121,2138,2000,549,18,1433,18,549,13,554,0,0,88,363,103,15.520282186948853,64.02116402116403,18.165784832451497,26.520112254443408
tec6,1122,1802,1500,409,5,1086,5,409,8,406,0,0,48,269,89,11.594202898550725,64.97584541062803,21.497584541062803,22.97447280799112
tec6,1123,2145,2000,405,3,1592,3,405,10,398,0,0,64,246,88,15.686274509803921,60.29411764705882,21.568627450980394,19.02097902097902
tec6,1124,2714,2500,637,3,1860,3,637,15,625,0,0,184,283,158,28.749999999999996,44.21875,24.6875,23.581429624170966
tec6,1125,1852,1500,390,8,1102,8,390,12,386,0,0,55,254,77,13.819095477386934,63.81909547738693,19.34673366834171,21.490280777537794
tec6,1126,1923,1500,492,10,998,10,492,21,481,0,0,73,314,94,14.54183266932271,62.54980079681275,18.725099601593627,26.105044201768067
tec6,1127,2430,2000,605,17,1378,17,605,7,615,0,0,86,412,117,13.826366559485532,66.2379421221865,18.810289389067524,25.596707818930042
tec6,1128,2704,2500,541,7,1952,7,541,19,529,0,0,109,307,113,19.89051094890511,56.02189781021898,20.62043795620438,20.266272189349113
tec6,1129,2208,2000,558,3,1439,3,555,10,548,0,0,106,311,131,18.996415770609318,55.7347670250896,23.476702508960575,25.407608695652172
tec6,1130,3058,3000,822,7,2171,7,821,18,810,0,0,138,466,206,16.666666666666664,56.28019323671497,24.879227053140095,27.10922171353826
tec6,1131,2804,2500,729,3,1768,3,729,14,718,0,0,131,415,172,17.89617486338798,56.69398907103825,23.497267759562842,26.105563480741793
tec6,1132,3064,3000,743,4,2253,4,742,24,722,0,0,121,418,183,16.219839142091153,56.03217158176944,24.53083109919571,24.379895561357703
tec6,1133,1674,1500,383,17,1100,17,383,7,393,0,0,72,234,87,18.0,58.5,21.75,23.894862604540023
tec6,1134,2617,2500,519,9,1972,9,519,9,519,0,0,84,320,115,15.909090909090908,60.60606060606061,21.78030303030303,20.175773786778755
tec6,1135,3814,3000,781,4,2215,4,781,12,773,0,0,215,343,215,27.388535031847134,43.69426751592357,27.388535031847134,20.58206607236497
tec6,1136,3619,3000,896,3,2101,3,893,22,874,0,0,241,402,231,26.89732142857143,44.86607142857143,25.78125,24.841116330478034
tec6,1137,3010,2500,688,0,1812,0,687,13,674,0,0,170,323,181,24.745269286754006,47.01601164483261,26.346433770014556,22.857142857142858
tec6,1138,1817,1500,443,2,1055,2,443,12,433,0,0,115,219,99,25.842696629213485,49.21348314606742,22.247191011235955,24.490919097413318
tec6,1139,1848,1500,317,3,1180,3,317,10,310,0,0,53,186,71,16.5625,58.12500000000001,22.1875,17.316017316017316
tec7,633,2704,2000,1169,11,820,11,1004,32,983,0,0,95,785,103,9.35960591133005,77.33990147783251,10.147783251231528,43.63905325443787
tec7,634,2487,2000,1047,7,946,7,1047,10,1044,0,0,80,869,95,7.590132827324478,82.44781783681215,9.013282732447818,42.38037796542019
tec7,635,2090,1500,814,7,679,7,814,15,806,0,0,66,670,70,8.038976857490866,81.60779537149817,8.526187576126674,39.282296650717704
tec7,636,2075,1500,540,4,956,4,540,12,532,0,0,105,330,97,19.301470588235293,60.66176470588235,17.830882352941178,26.216867469879517
tec7,637,2323,2000,803,7,1190,7,800,8,799,0,0,77,625,97,9.541511771995044,77.44733581164807,12.01982651796778,34.86870426173052
tec7,638,2234,2000,940,4,1056,4,934,12,926,0,0,100,757,69,10.660980810234541,80.70362473347548,7.356076759061833,42.256042972247094
tec7,639,2474,2000,825,21,1154,21,825,17,829,0,0,75,651,103,8.865248226950355,76.95035460992908,12.174940898345152,34.19563459983832
tec7,640,2421,2000,1010,25,965,25,981,11,995,0,0,67,852,76,6.6600397614314115,84.69184890656064,7.5546719681908545,42.75092936802974
tec7,641,1839,1500,789,4,707,4,785,51,738,0,0,102,563,73,12.927756653992395,71.35614702154626,9.252217997465145,43.121261555193044
tec7,642,2479,2000,971,19,1010,19,971,22,968,0,0,39,804,125,3.939393939393939,81.21212121212122,12.626262626262626,39.93545784590561
tec7,643,2828,2000,1114,1,885,1,994,20,975,0,0,76,815,84,7.63819095477387,81.90954773869346,8.442211055276381,39.42715700141443
tec7,644,2001,1500,707,6,787,6,695,10,691,0,0,68,554,69,9.700427960057063,79.0299572039943,9.843081312410842,35.63218390804598
tec7,757,2153,1500,533,6,961,6,532,20,518,0,0,72,333,113,13.382899628252787,61.89591078066915,21.00371747211896,25.034835113794706
tec7,758,1960,1500,503,11,986,11,502,10,503,0,0,88,316,99,17.15399610136452,61.59844054580896,19.298245614035086,26.224489795918366
tec7,759,1317,1000,364,10,626,10,364,10,364,0,0,69,242,53,18.449197860962567,64.70588235294117,14.171122994652407,28.397873955960517
tec7,760,1873,1500,480,4,1016,4,480,7,477,0,0,96,297,84,19.834710743801654,61.36363636363637,17.355371900826448,25.840896956753873
tec7,761,2031,1500,544,10,946,10,544,16,538,0,0,95,331,112,17.14801444043321,59.74729241877257,20.216606498194945,27.277203348104383
tec7,762,2733,2000,649,12,1339,12,649,30,631,0,0,90,389,152,13.61573373676248,58.85022692889561,22.995461422087747,24.185876326381265
tec7,763,2192,1500,629,16,855,16,629,15,630,0,0,100,419,111,15.503875968992247,64.96124031007751,17.209302325581397,29.425182481751825
tec7,764,1065,1000,287,6,707,6,287,17,276,0,0,33,188,55,11.262798634812286,64.16382252559727,18.771331058020476,27.511737089201876
tec7,765,2607,2000,616,8,1376,8,615,15,608,0,0,112,376,120,17.97752808988764,60.35313001605136,19.26163723916533,23.935558112773304
tec7,766,2380,2000,667,12,1321,12,667,21,658,0,0,103,435,120,15.169366715758468,64.06480117820324,17.673048600883654,28.52941176470588
tec7,767,2215,2000,606,5,1389,5,605,21,589,0,0,102,361,126,16.721311475409838,59.18032786885246,20.655737704918035,27.584650112866814
tec7,768,2053,2000,615,7,1378,7,612,20,599,0,0,115,347,137,18.578352180936992,56.058158319870756,22.132471728594506,30.297126156843646
tec7,769,2866,2000,786,8,1206,8,778,14,772,0,0,135,444,193,17.17557251908397,56.48854961832062,24.55470737913486,27.704117236566645
tec7,770,1389,1000,339,11,650,11,339,2,348,0,0,52,218,78,14.857142857142858,62.28571428571429,22.285714285714285,25.1979841612671
tec7,771,1120,1000,283,2,715,2,283,8,277,0,0,59,157,61,20.701754385964914,55.08771929824562,21.403508771929825,25.44642857142857
tec7,772,2082,1500,494,13,993,13,494,20,487,0,0,87,290,110,17.159763313609467,57.1992110453649,21.696252465483234,24.35158501440922
tec7,773,2013,1500,497,9,994,9,497,15,491,0,0,79,309,103,15.612648221343871,61.06719367588933,20.35573122529644,25.136612021857925
tec7,774,1829,1500,444,7,1049,7,442,13,436,0,0,79,260,97,17.59465478841871,57.906458797327396,21.603563474387528,24.658283214871517
tec7,775,2363,2000,570,5,1425,5,570,16,559,0,0,116,342,101,20.17391304347826,59.47826086956521,17.565217391304348,24.333474396953026
tec7,776,2300,2000,664,8,1328,8,664,24,648,0,0,121,390,137,18.00595238095238,58.03571428571429,20.386904761904763,29.217391304347828
tec7,777,1725,1500,468,4,1028,4,466,10,460,0,0,95,282,83,20.212765957446805,60.0,17.659574468085108,27.362318840579707
tec7,778,1603,1500,448,7,1045,7,443,9,441,0,0,89,257,95,19.77777777777778,57.111111111111114,21.11111111111111,28.38427947598253
tec7,779,1542,1500,371,5,1124,5,369,12,362,0,0,58,236,68,15.508021390374333,63.101604278074866,18.181818181818183,24.38391699092088
tec7,780,1615,1500,408,10,1082,10,408,8,410,0,0,48,289,73,11.483253588516746,69.13875598086125,17.464114832535884,25.882352941176475
tec7,781,2351,2000,633,18,1349,18,633,25,626,0,0,103,418,105,15.821812596006144,64.20890937019969,16.129032258064516,27.690344534240747
tec7,782,1380,1000,345,3,652,3,345,9,339,0,0,35,244,60,10.057471264367816,70.11494252873564,17.24137931034483,25.217391304347824
tec7,783,2366,2000,580,13,1407,13,580,12,581,0,0,86,374,121,14.502529510961216,63.06913996627319,20.404721753794266,25.06339814032122
tec7,784,1845,1500,480,6,1014,6,480,14,472,0,0,75,312,85,15.432098765432098,64.19753086419753,17.48971193415638,26.34146341463415
tec7,785,2042,2000,530,14,1456,14,526,11,529,0,0,94,330,105,17.40740740740741,61.111111111111114,19.444444444444446,26.64054848188051
tec7,786,1244,1000,332,14,654,14,332,3,343,0,0,54,222,67,15.606936416184972,64.16184971098265,19.36416184971098,27.813504823151124
tec7,787,1851,1500,612,16,872,16,612,15,613,0,0,124,383,106,19.745222929936308,60.98726114649682,16.878980891719745,33.92760669908157
tec7,788,2542,2000,790,5,1205,5,788,21,772,0,0,175,467,130,22.06809583858764,58.890290037831015,16.39344262295082,31.27458693941778
tec7,789,1979,1500,470,11,1019,11,468,10,469,0,0,94,289,86,19.624217118997915,60.33402922755741,17.954070981210858,24.30520464881253
tec7,790,2281,2000,667,10,1323,10,667,17,660,0,0,135,417,108,19.940915805022154,61.595273264401776,15.952732644017726,29.679964927663306
tec7,791,2384,2000,623,7,1370,7,623,25,605,0,0,116,383,106,18.412698412698415,60.79365079365079,16.825396825396826,26.426174496644293
tec7,792,1959,1500,515,11,974,11,515,21,505,0,0,104,315,86,19.771863117870723,59.885931558935354,16.34980988593156,26.85043389484431
tec7,793,2205,2000,541,27,1432,27,540,9,558,0,0,102,336,120,17.989417989417987,59.25925925925925,21.164021164021165,25.759637188208618
tec7,794,1830,1500,448,3,1049,3,441,11,433,0,0,92,272,69,20.72072072072072,61.261261261261254,15.54054054054054,24.6448087431694
tec7,795,2445,2000,580,13,1407,13,580,21,572,0,0,109,366,97,18.381112984822934,61.72006745362564,16.357504215851602,24.25357873210634
tec7,796,2667,2000,624,3,1373,3,621,14,610,0,0,109,373,128,17.467948717948715,59.77564102564102,20.51282051282051,23.509561304836897
tec7,797,1955,1500,442,7,1051,7,442,14,435,0,0,74,282,79,16.481069042316257,62.80623608017817,17.59465478841871,22.966751918158568
tec7,798,2013,1500,495,6,999,6,495,13,488,0,0,107,300,81,21.35728542914172,59.88023952095808,16.16766467065868,24.88822652757079
tec7,799,1960,1500,393,3,1104,3,393,7,389,0,0,69,268,52,17.424242424242426,67.67676767676768,13.131313131313133,20.20408163265306
tec7,800,2164,2000,604,2,1394,2,604,3,603,0,0,81,435,87,13.366336633663368,71.78217821782178,14.356435643564355,28.003696857670977
tec7,801,1687,1500,543,5,952,5,542,21,526,0,0,73,364,89,13.345521023765997,66.54478976234005,16.270566727605118,32.483698873740366
tec7,802,2388,2000,692,11,1297,11,650,20,641,0,0,127,404,110,19.213313161875945,61.11951588502269,16.64145234493192,29.43886097152429
tec7,803,2248,2000,583,2,1415,2,569,16,555,0,0,113,347,95,19.78984238178634,60.770577933450085,16.637478108581437,26.023131672597867
tec7,804,2252,2000,607,88,1305,88,603,20,671,0,0,106,479,86,15.340086830680175,69.31982633863966,12.445730824891461,30.86145648312611
tec7,805,1868,1500,464,21,1015,21,464,9,476,0,0,60,337,79,12.371134020618557,69.48453608247422,16.288659793814432,25.963597430406853
tec7,806,2387,2000,712,4,1284,4,712,18,698,0,0,91,497,110,12.70949720670391,69.41340782122904,15.363128491620111,29.995810640971932
tec7,807,2249,2000,629,28,1343,28,628,8,648,0,0,86,467,95,13.109756097560975,71.1890243902439,14.48170731707317,29.212983548243663
tec7,808,1993,1500,480,20,1000,6,469,15,460,0,0,70,315,75,14.736842105263156,66.3157894736842,15.789473684210526,25.087807325639737
tec7,809,2245,2000,613,9,1378,9,613,10,612,0,0,124,374,114,19.935691318327976,60.12861736334405,18.327974276527332,27.70601336302895
tec7,810,2619,2000,771,8,1221,8,771,28,751,0,0,135,484,132,17.329910141206675,62.130937098844676,16.944801026957638,29.744177166857575
tec7,811,2677,2000,741,6,1253,6,736,22,720,0,0,134,440,146,18.059299191374663,59.299191374663074,19.67654986522911,27.90437056406425
tec7,812,2133,1500,594,6,900,6,594,0,600,0,0,48,501,51,8.0,83.5,8.5,28.129395218002813
tec7,813,1851,1500,496,4,1000,4,496,15,485,0,0,69,333,83,13.8,66.60000000000001,16.6,27.01242571582928
tec7,814,2335,2000,622,3,1375,3,622,21,604,0,0,147,321,136,23.52,51.35999999999999,21.759999999999998,26.76659528907923
tec7,815,275,241,207,23,11,23,207,8,222,0,0,16,173,33,6.956521739130435,75.21739130434783,14.347826086956522,83.63636363636363
tec8,1674,942,650,300,20,330,20,299,21,298,0,0,52,203,43,16.30094043887147,63.63636363636363,13.479623824451412,33.97027600849257
tec8,1675,815,600,273,7,320,7,273,12,268,0,0,43,179,46,15.357142857142858,63.92857142857142,16.428571428571427,34.355828220858896
tec8,1676,1990,1500,745,10,745,10,745,27,728,0,0,115,496,117,15.2317880794702,65.69536423841059,15.496688741721854,37.93969849246231
tec8,1677,1485,1100,560,29,511,29,560,26,563,0,0,97,363,103,16.468590831918505,61.62988115449915,17.487266553480477,39.66329966329966
tec8,1678,550,400,174,7,219,7,174,7,174,0,0,24,131,19,13.259668508287293,72.37569060773481,10.497237569060774,32.90909090909091
tec8,1679,1672,1200,623,12,565,12,622,35,599,0,0,94,424,81,14.826498422712934,66.8769716088328,12.77602523659306,37.97846889952153
tec8,1680,1864,1300,666,42,592,42,663,35,670,0,0,89,474,107,12.624113475177303,67.23404255319149,15.177304964539006,37.98283261802575
tec8,1681,224,280,140,71,69,71,140,3,208,0,0,5,198,5,2.3696682464454977,93.8388625592417,2.3696682464454977,94.19642857142857
tec8,1682,2661,2000,850,14,1136,14,850,23,841,0,0,104,599,138,12.037037037037036,69.32870370370371,15.972222222222221,32.46899661781285
tec8,1683,2601,2000,882,31,1087,31,882,31,882,0,0,149,606,127,16.319824753559693,66.37458926615552,13.910186199342824,35.10188389081122
tec8,1684,2805,2000,924,25,1051,25,923,35,913,0,0,145,650,118,15.295358649789028,68.56540084388185,12.447257383966246,33.83244206773618
tec8,1685,1509,1100,448,23,629,23,447,14,456,0,0,72,311,73,15.319148936170212,66.17021276595744,15.53191489361702,31.21272365805169
tec8,1686,2174,2000,1119,16,865,16,1119,55,1080,0,0,234,584,262,20.616740088105725,51.45374449339207,23.083700440528634,52.20791168353266
tec8,1687,1929,1500,652,16,832,16,652,25,643,0,0,88,452,103,13.17365269461078,67.66467065868264,15.419161676646706,34.62934162778642
tec8,1688,1746,1500,630,25,845,25,630,25,630,0,0,103,440,87,15.725190839694655,67.17557251908397,13.282442748091603,37.514318442153495
tec8,1689,2346,2000,777,29,1194,29,776,24,781,0,0,108,572,101,13.41614906832298,71.05590062111801,12.546583850931677,34.35635123614663
tec8,1690,2166,1600,688,23,889,23,688,17,694,0,0,122,484,88,17.158931082981717,68.07313642756681,12.376933895921239,32.825484764542935
tec8,1691,1749,1700,609,17,1074,17,606,13,610,0,0,79,450,81,12.680577849117174,72.23113964686998,13.001605136436597,35.79188107489995
tec8,1692,494,500,398,53,49,53,398,53,398,0,0,38,323,37,8.425720620842572,71.61862527716187,8.2039911308204,91.29554655870446
tec8,1693,2537,2000,937,15,1048,15,936,19,932,0,0,130,641,161,13.669821240799159,67.40273396424816,16.929547844374344,37.52463539613717
tec8,1694,2267,1600,721,21,858,21,719,33,707,0,0,108,492,107,14.594594594594595,66.48648648648648,14.45945945945946,32.73048081164534
tec8,1695,2492,2000,776,31,1193,31,776,31,776,0,0,123,533,120,15.241635687732341,66.04708798017349,14.869888475836431,32.38362760834671
tec8,1696,2355,2000,831,27,1142,27,828,32,823,0,0,151,539,133,17.660818713450293,63.04093567251462,15.555555555555555,36.43312101910828
tec8,1697,2022,1500,581,16,903,16,581,22,575,0,0,96,381,98,16.08040201005025,63.81909547738693,16.415410385259634,29.52522255192878
tec8,1698,2214,1600,695,21,884,21,695,30,686,0,0,124,446,116,17.318435754189945,62.290502793296085,16.201117318435752,32.33965672990063
tec8,1699,3264,2300,1772,8,520,8,1770,47,1731,0,0,259,1087,385,14.566929133858267,61.136107986501685,21.653543307086615,54.53431372549019
tec8,1700,2696,2000,928,15,1057,15,927,29,913,0,0,138,636,139,14.64968152866242,67.51592356687898,14.755838641188959,34.97774480712167
tec8,1701,1398,1000,256,17,727,17,256,16,257,0,0,51,157,49,18.681318681318682,57.509157509157504,17.94871794871795,19.527896995708154
tec8,1702,390,400,353,37,10,37,353,27,363,0,0,25,296,42,6.41025641025641,75.8974358974359,10.76923076923077,100.0
tec8,1703,2979,2000,1034,11,955,11,1031,32,1010,0,0,191,594,225,18.330134357005758,57.00575815738963,21.593090211132438,35.07888553205773
tec8,1706,2562,2000,857,19,1124,19,853,30,842,0,0,108,616,118,12.385321100917432,70.64220183486239,13.53211009174312,34.19203747072599
tec8,1708,2827,2000,888,26,1086,26,888,31,883,0,0,105,639,139,11.487964989059082,69.9124726477024,15.207877461706785,32.33109303148214
tec8,1709,1798,1500,524,14,962,14,524,27,511,0,0,66,374,71,12.267657992565056,69.51672862453532,13.197026022304833,29.92213570634038
tec8,1710,1295,1000,416,9,575,9,415,15,409,0,0,37,325,47,8.726415094339622,76.65094339622641,11.084905660377359,32.818532818532816
tec8,1711,2282,2000,724,17,1259,17,724,19,722,0,0,73,547,102,9.851551956815115,73.8191632928475,13.765182186234817,32.4715162138475
tec8,1712,1640,1500,583,9,908,9,583,12,580,0,0,61,432,87,10.304054054054054,72.97297297297297,14.695945945945946,36.09756097560975
tec8,1713,2081,1500,658,21,821,21,657,15,663,0,0,71,503,89,10.471976401179942,74.18879056047197,13.126843657817108,32.628543969245555
tec8,1714,1666,1500,632,16,852,16,632,28,620,0,0,70,461,89,10.802469135802468,71.14197530864197,13.734567901234568,38.895558223289314
tec8,1715,1706,1500,619,13,868,13,619,20,612,0,0,58,454,100,9.177215189873419,71.83544303797468,15.822784810126583,37.045720984759676
tec8,1716,1526,1100,417,23,660,23,417,13,427,0,0,49,321,57,11.136363636363637,72.95454545454545,12.954545454545455,28.833551769331585
tec8,1717,1279,1000,425,16,559,16,425,17,424,0,0,68,301,55,15.419501133786847,68.25396825396825,12.471655328798185,34.4800625488663
tec8,1718,2257,1600,782,17,801,17,781,25,773,0,0,66,593,114,8.270676691729323,74.3107769423559,14.285714285714285,35.40097474523704
tec8,1719,1442,1000,505,5,490,5,505,18,492,0,0,51,363,78,10.0,71.17647058823529,15.294117647058824,35.367545076282944
tec8,1721,1819,1500,530,12,958,12,530,11,531,0,0,54,416,61,9.96309963099631,76.75276752767527,11.254612546125461,29.796591533809785
tec8,1722,2207,1600,724,3,873,3,724,30,697,0,0,62,549,86,8.528198074277855,75.51581843191197,11.829436038514443,32.94064340734028
tec9,1793,1930,1600,804,18,778,18,804,23,799,0,0,124,578,97,15.085158150851582,70.31630170316302,11.800486618004866,42.590673575129536
tec9,1794,2343,2000,1050,13,937,13,1033,18,1028,0,0,127,793,108,12.1414913957935,75.81261950286807,10.325047801147228,45.36918480580452
tec9,1795,1826,1500,814,11,675,11,814,25,800,0,0,44,722,34,5.333333333333334,87.51515151515152,4.121212121212121,45.18072289156627
tec9,1796,1462,1200,586,13,601,13,580,19,574,0,0,66,438,70,11.129848229342327,73.86172006745363,11.804384485666104,40.97127222982216
tec9,1797,1754,1500,613,4,883,4,612,24,592,0,0,100,401,91,16.233766233766232,65.09740259740259,14.772727272727273,35.17673888255416
tec9,1798,2043,2000,1023,11,966,11,1011,29,993,0,0,153,746,94,14.9706457925636,72.99412915851272,9.197651663405088,50.61184532550171
tec9,1799,1827,1500,844,71,585,71,830,8,893,0,0,89,730,74,9.877913429522753,81.02108768035517,8.213096559378469,50.08210180623974
tec9,1800,1993,2000,1027,9,964,9,1027,22,1014,0,0,132,814,68,12.741312741312742,78.57142857142857,6.563706563706563,51.98193677872553
tec9,1801,2149,2000,1024,17,959,17,1024,24,1017,0,0,158,757,102,15.177713736791546,72.71853986551393,9.798270893371757,48.44113541181945
tec9,1802,2485,2000,1196,58,746,58,1174,4,1228,0,0,147,994,87,11.931818181818182,80.68181818181817,7.061688311688312,50.462776659959765
tec9,1803,2585,2000,694,12,1294,12,694,31,675,0,0,115,408,152,16.288951841359772,57.79036827195468,21.529745042492916,27.311411992263057
tec9,1804,2235,2000,1019,84,897,84,1019,24,1079,0,0,102,901,76,9.247506799637353,81.68631006346328,6.890299184043518,49.35123042505593
tec9,1805,2619,2000,1098,13,889,13,1018,30,1001,0,0,142,718,141,13.773035887487875,69.64112512124152,13.676042677012608,42.42077128675067
tec9,1806,1876,1500,760,109,631,109,760,17,852,0,0,113,630,109,13.003452243958574,72.49712313003452,12.543153049482164,46.32196162046908
tec9,1807,2814,2500,1158,19,1323,19,1158,18,1159,0,0,181,837,141,15.378079864061172,71.11299915038232,11.979609175870857,41.82658137882018
tec9,1808,2416,2000,1057,17,926,17,1055,20,1052,0,0,141,791,120,13.152985074626866,73.78731343283582,11.194029850746269,44.45364238410596
tec9,1809,1584,1500,493,5,1002,5,493,13,485,0,0,107,301,77,21.485943775100402,60.44176706827309,15.461847389558233,31.439393939393938
tec9,1810,2849,2500,2033,20,447,9,2020,18,2011,0,0,243,1553,215,11.976343026121242,76.54016757023165,10.59635288319369,72.06037206037206
tec9,1812,2562,2000,645,7,1348,7,645,14,638,0,0,133,391,114,20.398773006134967,59.96932515337423,17.484662576687114,25.448868071818893
tec9,1813,2675,2000,646,11,1343,11,646,13,644,0,0,114,383,147,17.35159817351598,58.29528158295282,22.37442922374429,24.560747663551403
tec9,1814,1882,1500,456,24,1020,24,456,16,464,0,0,74,296,94,15.416666666666668,61.66666666666667,19.583333333333332,25.5047821466525
tec9,1815,1756,1500,436,6,1058,6,436,11,431,0,0,61,329,41,13.800904977375566,74.43438914027149,9.276018099547512,25.17084282460137
tec9,1816,1841,1500,447,23,1030,23,447,15,455,0,0,100,282,73,21.27659574468085,60.0,15.53191489361702,25.529603476371538
tec9,1817,2045,1800,490,6,1304,6,489,6,489,0,0,108,281,100,21.818181818181817,56.76767676767677,20.2020202020202,24.25427872860636
tec9,1818,1478,1200,442,4,754,4,441,15,430,0,0,69,267,94,15.505617977528091,60.0,21.123595505617978,30.17591339648173
tec9,1819,2193,2000,576,8,1416,8,576,14,570,0,0,101,359,110,17.294520547945204,61.47260273972602,18.835616438356166,26.630186958504332
tec9,1820,1305,1500,394,6,1100,6,394,12,388,0,0,104,220,64,26.0,55.00000000000001,16.0,30.65134099616858
tec9,1821,2237,2000,609,19,1372,19,609,13,615,0,0,133,365,117,21.17834394904459,58.12101910828026,18.630573248407643,28.073312472060795
tec9,1822,1908,1500,589,2,909,2,587,8,581,0,0,109,373,99,18.505942275042443,63.3276740237691,16.808149405772497,30.974842767295595
tec9,1823,2066,2000,625,7,1368,7,625,19,613,0,0,113,391,109,17.87974683544304,61.86708860759494,17.246835443037973,30.590513068731852
tec9,1824,2214,2000,552,5,1443,5,550,7,548,0,0,134,297,117,24.144144144144146,53.51351351351351,21.08108108108108,25.158084914182478
tec9,1825,2116,1500,506,6,988,6,506,20,492,0,0,75,319,98,14.6484375,62.3046875,19.140625,24.196597353497165
tec9,1826,1816,1500,406,2,1092,2,406,13,395,0,0,81,222,92,19.852941176470587,54.41176470588235,22.54901960784314,22.46696035242291
tec9,1827,2272,2000,641,3,1356,3,639,20,622,0,0,115,382,125,17.91277258566978,59.50155763239875,19.470404984423677,28.345070422535212
tec9,1828,2261,2000,683,23,1297,23,680,15,688,0,3,118,446,124,16.78520625889047,63.44238975817923,17.63869132290185,31.225121627598405
tec9,1829,1424,1100,354,1,745,1,353,10,344,0,0,83,185,76,23.44632768361582,52.259887005649716,21.468926553672315,24.929775280898877
tec9,1830,1178,1000,286,19,695,19,286,7,298,0,0,42,208,48,13.77049180327869,68.1967213114754,15.737704918032788,25.891341256366722
tec9,1831,1993,1500,526,13,961,13,523,15,521,0,0,100,338,83,18.65671641791045,63.059701492537314,15.485074626865671,27.044656297039637
tec9,1832,2270,2000,531,39,1430,39,529,8,560,0,0,104,350,106,18.30985915492958,61.61971830985915,18.661971830985916,25.11013215859031
tec9,1833,1588,1500,376,9,1115,9,375,5,379,0,0,71,258,50,18.489583333333336,67.1875,13.020833333333334,24.24433249370277
tec9,1834,1713,1500,432,4,1064,4,431,7,428,0,0,102,245,81,23.448275862068964,56.32183908045977,18.620689655172416,25.452422650321072
tec9,1835,2443,2000,643,12,1345,12,643,11,644,0,0,86,445,113,13.129770992366414,67.93893129770993,17.251908396946565,26.811297584936554
tec9,1836,2361,2000,842,24,1134,24,768,12,780,0,0,42,699,39,5.303030303030303,88.25757575757575,4.924242424242424,36.67937314697162
tec9,1837,2262,2000,570,4,1424,4,570,12,562,2,0,62,427,73,10.801393728222997,74.39024390243902,12.717770034843207,25.37577365163572
tec9,1838,2588,2000,628,7,1365,7,627,11,623,0,0,137,377,109,21.608832807570977,59.46372239747634,17.19242902208202,24.53632148377125
tec9,1839,2505,2000,634,3,1363,3,633,21,615,0,0,100,421,94,15.723270440251572,66.19496855345912,14.779874213836477,25.429141716566868
tec9,1840,2296,2000,583,5,1404,5,583,16,572,8,0,117,343,112,19.897959183673468,58.333333333333336,19.047619047619047,25.609756097560975
tec9,1841,2084,1500,496,6,998,6,496,10,492,0,0,112,286,94,22.31075697211155,56.97211155378486,18.725099601593627,24.088291746641076
tec9,1842,1569,1500,399,4,1097,4,398,10,392,0,0,74,235,83,18.407960199004975,58.457711442786064,20.64676616915423,25.68514977692798
tec9,1843,2321,2000,551,4,1445,4,550,13,541,0,0,153,264,124,27.617328519855594,47.65342960288809,22.382671480144403,23.912106850495476
